Type of Review,Name,Classification,Company,Distillery,Release Date,Proof,Age,Mashbill,Color,MSRP,Website,Nose,Palate,Finish,Overall,Overall Rating,Written By,Link
,Four Gate Batch 6: The Kelvin Collaboration II,Classification: Straight Bourbon Finished in Cognac and Dark Rum Barrels,Company: Four Gate Whiskey Company,Distillery: Undisclosed,Release Date: April 2020,Proof: 126.4,Age: 12 Years,"Mashbill: 74% Corn, 18% Rye, 8% Malted Barley",Color: Copper,MSRP: $200 (2020),Official Website,Molasses | Caramel | Vanilla | Toasted oak | Leather | Excellent intensity,Brown Sugar | Molasses | Thick oak | Dark cherry | Spice,Leather | Oak | Molasses | Hot,"Where Blood Oath Pact No. 6 with its Cognac finish wasn’t as intense as it needed to be, Four Gate Batch 6 goes to the other extreme. It’s packed full of great flavor, but its heat gets in the way. Thankfully a few drops of water alleviates this and allows the whiskey to open up. The result is a great tasting finished bourbon that needs just a little help to truly shine.

This sample was provided at no cost and no strings attached.",3.5,Eric,https://www.breakingbourbon.com/review/four-gate-batch-6-the-kelvin-collaboration-ii
,Heaven’s Door Straight Rye Whiskey Finished in Vosges Oak Barrels,Classification: Straight Rye Finished in Vosges Oak Barrels,Company: Heaven’s Door Spirits,Distillery: Sourced,Release Date: Ongoing,Proof: 92,"Age: NAS (According to the company website, the rye is aged for approximately 6 years before finishing for about 1 year in Vosges oak barrels)","Mashbill: 95% Rye, 5% Malted Barley",Color: Medium Amber,MSRP: $80 (2020),Official Website,Vanilla custard | Allspice | Pepper | Rye spice | Caramel | Aged oak | Light and inviting,Graham cracker | Aged oak | Rye spice | Brown sugar,Surge of rye spice | Toasted marshmallow | Vanilla | Medium length with a shift from spice to sweet,"Vosges refers to French oak, originating from the Quercus Petraea species which has a looser wood grain than the more common Quercus Robur species, allowing additional flavor to be imparted more quickly. Heaven’s Door uses cigar barrels for the finishing process, which results in faster evaporation than standard 53 gallon barrels. All of this is worth it, as the resulting flavor profile is very good, highlighting both the high rye composition and bringing a balance of sweet notes into the mix.",3.5,Nick,https://www.breakingbourbon.com/review/heavens-door-straight-rye-whiskey-finished-in-vosges-oak-barrels
,Kooper Family Rye,Classification: Straight Rye Finished in Used Bourbon Barrels,Company: Kooper Family Whiskey Co.,Distillery: 3 year old rye is from MGP and 5 year old rye is from an undisclosed distillery in Tennessee,Release Date: Ongoing,Proof: 90,Age: Blend of 3 & 5 year old straight ryes,"Mashbill: 3 Year Rye : 95% Rye, 5% Malt; 5 Year Rye: 51% Rye, 36% Corn, 13% Malt",Color: Copper,MSRP: $40 (2020),Official Website,Custard | Creme brulee | Vanilla | Raisins | Seasoned oak | Delicious rich nose,Creme brulee | Caramel | Cinnamon | Butter | Soft fruit | Incredibly rich bakery,Rye spice | Syrupy vanilla | Baking spice | Seasoned oak,"I guess when you source whiskey you technically own it, however Kooper Family Rye’s label definitely gives the impression that Kooper Family Whiskey Co. distilled it by saying “our” multiple times when referring to the whiskey used in the blend (although they never used “distilled” on the label). Despite this, Kooper Family Rye is a winner. It’s an incredibly rich tasting rye that is filled with delicious bakery-type flavors. Interestingly, their bottle and website doesn’t make reference to this being finished in used bourbon barrels to achieve this, but you can’t disagree with the results. It can be surprisingly a bit hot at times for a 90 proof whiskey, but a few dabs of water help this. All in though, it is an amazing tasting whiskey that you should buy right now.",3.5,Eric,https://www.breakingbourbon.com/review/kooper-family-rye
Capsule Review,Larceny Barrel Proof Batch B520,Straight Bourbon,Heaven Hill,Heaven Hill,May 2020,122.2,NAS (Company states that batches will contain six to eight year old bourbon),"68% Corn, 20% Wheat, 12% Malted Barley",Deep Amber,$50 (2020),,Rich molasses | Brown sugar | Spicy cinnamon | Toasted oak,Rich molasses | Brown sugar | Spicy cinnamon | Toasted oak,Ethanol | Wheat grain | Burnt caramel | Hot,"Heaven Hill impressed with their inaugural batch of Larceny Batch Proof, but their second batch of 2020 comes up a little bit short compared to the previous one. It's mainly the result of its overly hot finish that is ethanol fueled, and features strong wheat graininess. Despite this, if you missed Batch A120, Batch B520 is a fine runner-up, though I’m still waiting for Larceny Barrel Proof to reach its full potential.",3.5,Eric,https://www.breakingbourbon.com/review/larceny-barrel-proof-batch-b520
,Larceny Barrel Proof Batch C920,Classification: Straight Bourbon,Company: Heaven Hill,Distillery: Heaven Hill,Release Date: October 2020,Proof: 122.4,Age: NAS (Company states that batches will contain six to eight year old bourbon),"Mashbill: 68% Corn, 20% Wheat, 12% Malted Barley",Color: Dark Bronze,MSRP: $50 (2020),Official Website,Brown sugar | Syrup | Dry walnuts | Baking spice | Faintest tingle of ethanol | Amped up scents that are sweet and inviting,Syruped raisins | Dry oak | Leather | Chocolate covered dark cherries | Brown sugar | Baking chocolate | Depths of great flavor,Oak | Leather | Dab of tobacco leaf | Bold baking spice | Dried nuts | Lingering bold heat | A nice contrast to the sweeter parts of the sip,"The last batch of Larceny Barrel Proof in 2020 rounds out the brand's first year of existence nicely. Its full flavored bold sip is exactly what you’d expect from a barrel proof wheated bourbon from Heaven Hill. The distillery seems to be dialing in this brand quite well, and it wouldn’t surprise me if future batches of Larceny Barrel Proof continue to excel even more as the company finetunes the barrels it picks for these batched releases. If you’re a fan of sweater wheated bourbons or just a fan of full flavored barrel proof bourbons, be sure to seek this out.",3.5,Jordan,https://www.breakingbourbon.com/review/larceny-barrel-proof-batch-c920
,Lucky Seven - The Hold Up (Batch 1),Classification: Straight Bourbon,Company: Lucky Seven Spirits,Distillery: Sourced (From unknown distillery[ies] in Kentucky),Release Date: Ongoing,Proof: 100,Age: 12 Years,Mashbill: Undisclosed,Color: Copper,MSRP: $125 (2020),Official Website,Apricot | Dried figs | Caramel corn | Seasoned oak undertone,Maple sugar candy | Summer fruit | Toasted marshmallow | Caramelized oak | Complex & balanced,Brown sugar | Tobacco | Pop of spice | Lingering with a spicy burst,"For this limited edition batch, co-founders Michael Lahalih and John Pals maintained the developed sweetness found in The Jokester, the whiskey's younger 6 year old counterpart. More oak influence provides balance along with an additional 5 proof points which may contribute to its deeper spice. Those seeking additional balance between oak and sweet notes will appreciate this 12 year old bourbon.

This sample was provided at no cost and no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/lucky-seven-the-hold-up-batch-1
,Lucky Seven - The Jokester,Classification: Straight Bourbon,Company: Lucky Seven Spirits,Distillery: Sourced (From unknown distillery[ies] in Kentucky),Release Date: Ongoing,Proof: 95,Age: 6 Years,Mashbill: Undisclosed,Color: Rose Gold,MSRP: $75 (2020),Official Website,Nutmeg | Cherry | Dark Fruits | Vanilla | A bit of heat masks the aromas,"Brown sugar | Creme brulee | Allspice | Candied raisins | Touch of oak | Rich, sweet & delicious","Summer berries | Nutmeg | Brown sugar | Toasted nuts | Pepper | Sweet turns to spice, medium length","This cinema-inspired brand from college friends and co-founders Michael Lahalih and John Pals is surprisingly rich and sweet considering its 95 proof and unknown Kentucky source(s). While the nose requires a bit of patience to open up, the rest of the sip comes out in full force leaving you wanting more. Under the ticket-themed label is a secret message - tasting notes from the company...a fun twist on whiskey label design.

This sample was provided at no cost and no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/lucky-seven-the-jokester
,New Riff Backsetter Bourbon,Classification: Straight Bourbon,Company: New Riff Distilling,Distillery: New Riff Distilling,Release Date: Spring 2020,Proof: 100,Age: NAS (4 Years),"Mashbill:  65% Corn, 30% Rye, 5% Malted Barley",Color: Copper,MSRP: $50 (2020),Official Website,Vanilla | Light oak | Smoked barley | Campfire | Smoky & sweet,Sweet vanilla | Straw | Light smoked wood chips | Green peppercorn | Touch of brown sugar,Charred Oak | Light vanilla | Light smoke | Earthy with lingering spice,"For this limited release, New Riff used their traditional bourbon mashbill and a backset collected from a distillation of peat-smoked malted barley. The end result is a bourbon that tastes like it was barrel-aged in a used scotch barrel like High West Campfire was. It noses like a scotch yet has a distinctly bourbon palate. It’s great to see New Riff experimenting and innovating on what it means to be a bourbon.",3.5,Jordan,https://www.breakingbourbon.com/review/new-riff-backsetter-bourbon
,Old Fitzgerald Bottled In Bond Fall 2020 Edition,Classification: Straight Bourbon,Company: Heaven Hill,Distillery: Heaven Hill,Release Date: September 2020,Proof: 100,Age: 14 Years,"Mashbill: 75% Corn, 20% Wheat, 5% Malted Barley",Color: Dark Bronze,MSRP: $140,Official Website,Layered caramel | Homemade biscuits | Custard | Raw peanut | Light grape | Tempered oak | Very well done,Perfect balance of caramel & vanilla | Backend hit of sweet fruit | Hint of lemon | Buttery | Light dry oak | Gentle & warming | Excellent,Oak | Dry | Fleeting | Short,"Old Fitzgerald Bottled in Bond has quickly proven to be yet another constantly solid release from Heaven Hill. The Fall 2020 release may not be an overall complex affair, but it completely nails its nose and palate with an amazingly balanced sip - one of the best of the year actually. Sadly, its finish is severely lacking. The Fall 2020 release isn’t going to impress you with much in the way of fireworks and with it, fully justify its price tag for some. Despite that, what you’re getting is an excellent crafted delivery of flavors that unfortunately falls flat in its final act.",3.5,Eric,https://www.breakingbourbon.com/review/old-fitzgerald-bottled-in-bond-fall-2020-edition
,Old Forester Single Barrel 100 Proof,Classification: Straight Bourbon,Company: Brown-Forman,Distillery: Brown-Forman Shively Distillery,Release Date: Ongoing,Proof: 100,Age: NAS,"Mashbill: 72% Corn, 18% Rye, 10% Malted Barley",MSRP: $50 (2020),Website,"Brown-Forman announced in early 2019 they would be “enhancing” their retailer single barrel program. Old Forester’s 90 proof single barrel will no longer be available, instead replaced with a 100 proof and barrel strength single barrel versions. Bottles will also sport a redesigned bottle label that more closely resembles the brand's design since 2015. Jackie Zykan, Old Forester master taster, said in the company's press release, “...we wanted to be able to share how special some of these barrels are when the product inside is tasted in raw form.”","A wonderful rich nose of butterscotch, cherry, vanilla, and oak. I was taken aback at how potent it is for the proof, which isn’t a bad thing since it’s a delicious aroma.","A well-crafted palate that balances oak and its sweeter side well. Wet oak and light pecan provide a weighted base that allows the caramel, maple syrup, and cherry coke flavors to nicely play off of them. Quite enjoyable.","Like many Old Forester bourbons before this, pepper, clove, and seasoned oak dominate. This leaves a mild aftertaste of dankiness and slight bitterness. It doesn't have as impactful of a finish as it does in the small batch, but unfortunately it’s present once again.","In my Old Forester Signature Bourbon review I wrote about the drastic improvements the people behind Old Forester have made to their bourbon over the last few years. In this particular single barrel, I found it to have a little bit thinner mouthfeel than the small batch, but it didn’t matter as the flavors are more vibrant than those of the small batch overall.

To be frank, I never thought much of Old Forester single barrel selections. The brand didn’t come off as exciting and I wasn’t willing to take a chance on a more expensive single barrel version. I still have an Old Forester single barrel selection from years ago that remains pretty forgettable. Of course single barrels vary, but I’m impressed with what I tasted with this latest one, and it falls in line with what I’ve tasted overall from the brand lately. It started with the Old Forester Whiskey Row series, then the standard Old Forester bourbon saw a quality increase. It’s been getting better and better and I’m definitely willing to take a chance on an Old Forester single barrel bottle now.  

The sample used for this review was provided at no cost courtesy of Brown-Forman. We thank them for the sample and for allowing us to review it with no strings attached.",3.5,Eric,https://www.breakingbourbon.com/review/old-forester-single-barrel-100-proof
,Parker's Heritage Collection: 10 Year Old Heavy Char Bourbon,Classification: Straight Bourbon,Company: Heaven Hill,Distillery: Heaven Hill,Release Date: October 2020,Proof: 120,Age: 10 Years,"Mashbill: 78% Corn, 12% Malted Barley, 10% Rye",Color: Dark Copper,MSRP: $120,Official Website,Heavy charred oak | Vanilla | Slight rye spice & caramel | Bold ethanol | Every scent is amplified including the ethanol,Sweet caramel | Vanilla | Baking spices | Peppercorn | Slight hint of dark cherries | Barrel char | Punchy spice,Caramel | Flashes of dark fruits | Charred oak | Dry leather | Big bold spice | Long & full of heat,"Parker’s Heritage Heavy Char Bourbon is the 14th edition of this annual release. Following up on the heels of last year’s release of Heavy Char Rye, the company once again is focusing on the utilization of a char Level 5 to be the distinguishing factor of this release. This differs from the customary Level 3 that Heaven HIll normally uses. Unlike last year though, Heaven Hill has chosen to amplify the age and proof even higher, resulting in a 10 year 120 proof bourbon.

Where last year’s Parker’s Heritage edition was an overall disappointment, the bourbon version of Heaven Hill’s heavy char experiment thankfully is redemption for this often lauded and popular brand. While heat and char are still big factors, they thankfully don’t drown out the other flavors or make things too lopsided. Instead, the end result is a big bold high proof bourbon that balances its age and heavy char flavor profile against traditional bourbon flavor profiles and bold spice. This year’s  Heavy Char Bourbon isn’t the best Parker’s Heritage Collection bottle ever released, but it’s a big upgrade from last year’s rye release and one that is sure to please those looking for a bold high proof pour.",3.5,Jordan,https://www.breakingbourbon.com/review/parkers-heritage-collection-10-year-old-heavy-char-bourbon
,Rabbit Hole Founder’s Collection Cask Strength Boxergrail Rye,Classification: Straight Rye,Company: Rabbit Hole,Distillery: Undisclosed,Release Date: October 2020,Proof: 114.6 (Cask Strength),Age: 6 Years,"Mashbill: 95% Rye, 5% Malted Barley",Color: Deep Amber,MSRP: $195 (2020),Official Website,Big rye spice | Anise | Dark fruit | Potent,Black licorice | Brown sugar | Tobacco leaf | Rye spice | Caramel | Maple sugar candy | Gripping intensity,Swash of rye spice | Maple sugar candy | Long with tapering spice,"This Kentucky-made rye represents the second release in the Founder’s Collection line and is extremely limited with only 1,315 bottles in total. The name “Boxergrail” honors Louisville’s boxing heritage, and this release adds age, proof, and more carefully curated barrels to Rabbit Hole’s standard 95 proof Boxergrail Rye offering. Consisting of only 7 barrels that were part of the very first rye barrels company founder Kaveh Zamanian created, the resulting flavor profile is mouth-hugging with just the right balance of rye spice and sweet notes. It is unequivocally a crowd-pleasing and great tasting whiskey. However its asking price, high end packaging, and ultra-limited production quantity gear it towards being more of a collector's item than a whiskey consumers will purchase simply to enjoy.",3.5,Nick,https://www.breakingbourbon.com/review/rabbit-hole-founders-collection-cask-strength-boxergrail-rye
,Resilient 14 Year Single Barrel - Barrel #182,Classification: Straight Bourbon,Company: BC Merchants,Distillery: George Dickel,Release Date: Ongoing,Proof: 104,Age: 14 Years,"Mashbill: 84% Corn, 8% Rye, 8% Malted Barley",Color: Deep Amber,MSRP: $100 (2020),Official Website,"Creme brulee | Custard | Raisin | Beautiful ""dessert-like"" nose",Sugar Daddy candy | Candied walnuts | Vanilla frosting | Rich with a nice body & mouthfeel,Warming spice | Seasoned oak | Tobacco | Caramel chews | Lingering sweetness,"While many lower proof, high aged George Dickel barrels are just less intense versions of their higher proof counterparts, some barrels surprise you. Barrel # 182 is an exception to the rule, bringing a richer intensity than most. Sweet dessert-like flavors lead, but it transitions to more savory flavors as it progresses.

This sample was provided at no cost and no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/resilient-14-year-single-barrel-barrel-182
,Resilient 14 Year Single Barrel - Barrel #55,Classification: Straight Bourbon,Company: BC Merchants,Distillery: George Dickel,Release Date: Ongoing,Proof: 123.2,Age: 14 Years,"Mashbill: 84% Corn, 8% Rye, 8% Malted Barley",Color: Deep Amber,MSRP: $100 (2020),Official Website,Buttered cornbread | Candy corn | Vanilla custard | Seasoned oak,Cane sugar | Rye spice | Caramel chews | Aged oak | Very sweet with a pop of spice,Rye spice | Graham cracker | Molasses | Medium length with a focus on sweetness,"This George Dickel sourced bourbon is just shy of 15 years old, and brings much of those quintessential Dickel bourbon flavors to the mix without an overbearing oak influence. The focus here is on the sweeter side of the spectrum, and at 107 proof it’s delivered with a nice but very manageable amount of heat.

This sample was provided at no cost and no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/resilient-14-year-single-barrel-barrel-55
,Sazerac 18 Year (2020),Classification: Straight Rye,Company: Sazerac Company,Distillery: Buffalo Trace,Release Date: September 2020 (Annual release),Proof: 90,Age: 18 Years,Mashbill: Undisclosed,Color: Light Copper,MSRP: $99 (2020),Official Website,Summer fruits | Apricot | Baking spice | Rye spice | Aged oak | Light overall intensity | Classic Sazerac 18 nose,Aged oak | Cherry | Musty | Caramel | Buttery mouthfeel,Rye pop with lasting intensity | Cinnamon | Allspice | Brown sugar | Musty oak,"The 5th release since the last of the legendary tanked batch, this year's Sazerac 18 echoes the tanked batch's greatness. At 18 years old, aged oak is the highlight, though it's surprisingly mild in intensity. A playful mix of sweet and spicy notes play their part in keeping the oak in check, and at times even overpower it. This is the most notable difference compared to the tanked batch, which is more complex and oak forward throughout than the 2020 release. Still, while it does not live up to its former greatness, this might be the closest Buffalo Trace has come yet to matching it.",3.5,Nick,https://www.breakingbourbon.com/review/sazerac-18-year-2020
,Three Chord Twelve Bar Reserve Barrel Proof,Classification: Bourbon,Company: Steel Blending Spirits,Distillery: Sourced (From undisclosed distilleries in Kentucky and Tennessee),Release Date: Ongoing,Proof: 107,Age: 12 Years,"Mashbill: 84% Corn, 8% Rye, 8% Malted Barley",Color: Medium Copper,MSRP: $75 (2020),Official Website,Leather | Vanilla custard | Summer fruits | Citrus | Cinnamon spice | Interesting & inviting with minor flaws,Werther's Original | Butterscotch | Toffee | Maple sugar candy | Clove | Aged oak | Layered flavors with a medium-bodied mouthfeel,"Brown sugar | Caramel chews | Tobacco | Leather | Black pepper | Sweet to spice then back to sweet again, lingering","Inspired by music, Three Chord founder Neil Giraldo's songwriting background is applied to their ""Perfectly Tuned Taste"" blending process, known as pyrolysis - heating the oak to release specific flavor and aroma compounds within the whiskey. Notwithstanding the concerns of purists, the end result revealed in Three Bar Reserve is a delicious one. While the backbone of its Tennessee source is evident, this is surprisingly more complex than expected.

This sample was provided at no cost and no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/three-chord-twelve-bar-reserve-barrel-proof
,Three Chord Whiskey Drummer Batch 01,Classification: Straight Bourbon,Company: Steel Bending Spirits,Distillery: Sourced (From undisclosed distillery[ies] in Kentucky),Release Date: September 2020,Proof: 117.9,Age: 15 Years,Mashbill: Undisclosed,Color: Copper,MSRP: $190,Official Website,Cherry |  Blackberry | Caramel | Vanilla | Brown sugar | Light tobacco | Touch of herbal | Sweet | Rich and satisfying,Mixed berries | Steeped cherries | Rich vanilla | Leather | Hazelnut | Oily mouthfeel | Quite enjoyable,Old oak | Dark brown sugar | Mild black pepper | Ramp up of heat | Cinnamon and black cherry aftertaste | Long lasting,"Three Chord comes out strong with their first limited release that’s a 15 year old Kentucky-sourced bourbon. While its age statement is certainly eye-catching, it's the whiskey itself that truly makes its mark. With a mouthcoating viscosity and its dark berry, brown sugar, and old oak flavor profile, it makes a great impression. With only two batches of 10 barrels a piece that produced 125 bottles per barrel on average, this is a very small release. You’ll likely have sticker shock from its $190 price tag, but ultimately find repose in its persuasive sip.",3.5,Eric,https://www.breakingbourbon.com/review/three-chord-whiskey-drummer-batch-01
,77 Whiskey - Distilled from New York Wheat,Classification: Wheat Whiskey,Company: Breuckelen Distilling Company,Distillery: Breuckelen Distilling Company,Release Date: Ongoing,Proof: 90,Age: 655 Days (~1.7 years),Mashbill: 100% Wheat,Color: Light Amber,MSRP: $40 (2020),Official Website,Honey | Maple sugar candy | Caramel | Soft & sweet,Honey | Toffee | Caramel chews | Fresh baked banana bread | Delicate & sweet,Confectioners sugar | Honey | Milk chocolate | Sweet notes linger,"Wow what an impressive whiskey from Breuckelen Distilling! This delicate and sweet wheat whiskey showcases a dessert-themed flavor profile that is shockingly developed given its age. Like the company’s other products, this New York Wheat whiskey is unlike most of the other products you will find on the shelf. With a tidal wave of sweet flavors, I can only imagine how good it tastes at barrel proof.",3,Nick,https://www.breakingbourbon.com/review/77-whiskey-distilled-from-new-york-wheat
,77 Whiskey Bonded Rye,Classification: Straight Rye,Company: Breuckelen Distilling Company,Distillery: Breuckelen Distilling Company,Release Date: Ongoing,Proof: 100,Age: 6 Years,Mashbill: 100% Rye,Color: Copper,MSRP: $65 (2020),Official Website,Smoky | Malty | Rye spice | Chocolate | Unique & surprising,Chocolate | Rye | Malty | Clove | Creamy mouthfeel,Light rye spice | Cocoa | Short but pleasant,"Milling, distilling, aging, and bottling whiskeys in Brooklyn, NY since 2010, Bonded Rye is the oldest whiskey released by the distillery. The change to 6 years old must be recent, as a 6 year sticker rests over the original 4 year imprinting. The rye is anything but familiar, with a 100% rye mashbill that I could have mistaken for a malt whiskey had I not known what I was drinking. It is definitely a whiskey for those wanting something less familiar, with the only fault being the unusually short finish.",3,Nick,https://www.breakingbourbon.com/review/77-whiskey-bonded-rye
,77 Whiskey Distilled from Local Rye & Corn,Classification: Rye,Company: Breuckelen Distilling Company,Distillery: Breuckelen Distilling Company,Release Date: Ongoing,Proof: 90,"Age: 2 Years, 8 Days","Mashbill: 90% Rye, 10% Corn",Color: Dark Gold,MSRP: $45 (2020),Official Website,Fruit Stripe Bubble Gum | Strange but totally awesome,Tropical fruit | Sugar | Faint cinnamon | Mild oak | Yummy,Cinnamon | Oak | Ramp up in heat | Fruit Stripe Bubble Gum aftertaste,"What is going on here? This whiskey is so strange but also oddly compelling. Why does it smell and taste like Fruit Stripe Bubble Gum? More than anything this whiskey will take you down a sugar-filled nostalgic trip if you’re an adult of a certain age who grew up with the gum. This whiskey won’t be for everyone, but if this sounds appealing to you, buy it now. The company continually ages their distillate so its flavor profile may change with additional aging. For me, I’ll be heading back to my room with my bottle and lounging in my beanbag chair listening to Debbie Gibson. Don’t judge.",3,Eric,https://www.breakingbourbon.com/review/77-whiskey-distilled-from-local-rye-corn
,Adventurous Stills Peralta Bourbon (Batch 30),Classification: Bourbon,Company: Adventurous Stills,Distillery: Adventurous Stills,Release Date: Ongoing,Proof: 90,Age: NAS,Mashbill: Undisclosed,Color: Amber,MSRP: $45 (2020),Official Website,Malt | Chocolate | Pie crust | Dark fruit | Robust | Intriguing,Chocolate | Cherry | Caramel | Vanilla | Tobacco | Chewy with a full body,Surge of baking spices | Maple sugar candy | Vanilla | Lon,"This Tempe, Arizona distillery has been distilling spirits since 2015, and makes all the whiskey they bottle. Peralta Bourbon holds true to the company’s name and mission statement - it’s unequivocally adventurous and different. The company notes they include a few specialty grains to create chocolate and spice notes. Those notes are very evident and in fact, provide the base for the overall flavor profile which presents more like a malt whiskey than a bourbon. While it’s still a bit rough around the edges, Peralta Bourbon’s robust and unique flavor profile and great mouthfeel more than make up for it.",3,Nick,https://www.breakingbourbon.com/review/adventurous-stills-peralta-bourbon-batch-30
,Balcones Lineage,Classification: Malt Whiskey,Company: Balcones Distilling,Distillery: Balcones Distilling,Release Date: Ongoing,Proof: 94,Age: 3 Years,Mashbill: 100% Malted Barley,Color: Dark Amber,MSRP: $40 (2020),Official Website,Raspberry | Peach | Banana | Cinnamon | Cider | Gentle maltiness,Malt | Peach | Cream soda | Butterscotch | Toffee | Orange Tang | Mellow,Dr. Pepper | Wet oak | Musty | Light dryness | Long malt aftertaste,"Balcones stakes their reputation on being unique which comes across in everything they do. This of course can make their whiskeys polarizing for their starkness compared to traditional tasting whiskeys. Lineage does a lot to soften this transition. It's still packed full of unusual but compatible flavors, yet this time they’ve toned things down a notch compared to the company’s other whiskeys. Where Balcones’ flavor profiles can often come across as strong, Lineage might be the most approachable Balcones ever, thanks to its all-around mellowness. It's still a malt whiskey. It’s still Balcones. However this might be the gateway whiskey that finally gives people an accessible way into Balcones.",3,Eric,https://www.breakingbourbon.com/review/balcones-lineage
,Bardstown Bourbon Company The Prisoner,Classification: Straight Bourbon finished in Prisoner French Oak Red Wine Barrels,Company: Bardstown Bourbon Company,Distillery: Sourced (From an undisclosed distillery in Tennessee),Release Date: January 2019,Proof: 100,Age: 9 Years,"Mashbill: 84% Corn, 8% Rye, 8% Malted Barley",Color: Ruby,MSRP: $125 (2020),Official Website,Baking spice | Light strawberry | New oak | Bundt cake | Dark fruits | Notable influence from wine barrels,Dominant dark red fruits | Fruit pie | Light oak | Vanilla,Oak | Leather | Muted red fruits | Lingering dry oak | Slightly tannic,"Bourbon finished in wine barrels is always a dicey proposition as the end result is either a love it or hate it product. The Prisoner is no exception. The wine barrel imparts deep red fruits on the sip and influences it in ways that you can only get out of a barrel-finished product. The asking price is pushing its limit, however if you’re a fan of wine finished bourbons, The Prisoner is worth seeking out.",3,Jordan,https://www.breakingbourbon.com/review/bardstown-bourbon-company-the-prisoner
,Barrell Rye Batch 003,Classification: Blend of Straight Ryes,Company: Barrell Craft Spirits,"Distillery: Sourced (from undisclosed distilleries in Indiana, Tennessee, Poland, and Canada)",Release Date: March 2020,Proof: 116.7 (Cask Strength),Age: 4 Years (Blend of 4-14 year old barrels per company website),Mashbill: Undisclosed,Color: Light Gold,MSRP: $80 (2020),Official Website,Caramel | Cornbread | Grass | Peppermint | Lemon,Roasted nut | Leather | Green apple | Oily mouthfeel,Rye bread | Spice | Dryness | Old oak,"After a hiatus, Barrell Craft Spirits is back with a new rye batch that turns up the dial on its blending complexity by featuring ryes from four origins and up to 14 years of age. This type of blend is highly unusual for the rye market which typically doesn’t get to experience the same blending creativity as much as bourbon does. The result is a grounded rye that is heavy on earthier notes and more oak forward than most ryes. Yet it also features a great mouthfeel that helps highlight the palate’s complexity by bringing forth the brightness the four base ryes produce together. This isn’t a rye you might now immediately declare your love for, but one you’ll take out at a rye tasting and prove just how unique ryes can actually be.",3.5,Eric,https://www.breakingbourbon.com/review/barrell-rye-batch-003
,Blood Oath Pact No 6,Classification: Straight Bourbon Finished in Cognac Barrels,Company: Luxco,Distillery: Undisclosed,Release Date: 2020,Proof: 98.6,"Age: Blend of 14 Year, 8 Year, and 7 Year Kentucky Straight Rye-Based Bourbons",Mashbill: Undisclosed,Color: Golden Straw,MSRP: $100 (2020),Official Website,Oak | Leather | Orange | Butterscotch,Raisins | Plum | Thick oak | Toasted sugar | Sweet,Spice | Cherry | Raisins | Dark chocolate | Light dryness & long lasting,"Each Blood Oath Pact features a unique blend of different aged bourbons, and their two most recent releases have also featured barrel finishes. Overall Pact No. 6 with its Cognac finish is a flavorful barrel finished bourbon that drinks easy thanks to its sweet palate. Its Cognac finish is surprisingly inoffensive, well integrated, and long lasting. A bit more intensity all around would have made this truly shine, but nevertheless it’s a well-crafted whiskey.

This sample was provided at no cost and no strings attached.",3,Eric,https://www.breakingbourbon.com/review/blood-oath-pact-no-6
,Booker’s Bourbon “Boston Batch” (Batch 2020-02),Classification: Straight Bourbon,Company: Beam Suntory,Distillery: Jim Beam,Release Date: July 2020,Proof: 126.5,"Age: 6 Years, 3 Months, 10 Days","Mashbill: 77% Corn, 13% Rye, 10% Malted Barley",Color: Bronze,MSRP: $90 (2020),Official Website,Fresh nuts | Bananas foster | Slight spice,Large dose of spice | Hints of sweet vanilla | Baking spice | Oaky,Oak | Leather | Hints of nuts | Touch of vanilla | Bold heat,"The second of the Booker’s 2020 releases, “Boston Batch” is named after the production site where Booker Noe first started his distilling career. Located in Boston, KY, it was purchased by the James B. Beam Distilling company in the early 1950’s as a second distilling location to increase their capacity.

Booker’s is known for being a bold, high proof pour and Boston Batch lives up to those expectations. The sip is distinctly Jim Beam, starting with its nut infused nose. The rest of the sip is bold and full of spice and oak. It’s not the most complex Booker’s produced, however it will please those who are a fan of the brand, along with individuals who are looking for a bold, high proof pour.",3,Jordan,https://www.breakingbourbon.com/review/bookers-bourbon-boston-batch-batch-2020-02
